"","Team","Year","Own","Opp","SDOwn","SDOpp","Own.CBM","Opp.CBM","G","W","L","WP","P1","P2","Dif","P3","P4"
"1","ANA",1997,5.11728395061728,4.90123456790123,NA,NA,4.66666666666667,4.5,162,84,78,0.518518518518518,0.520259908831839,0.513861278762778,0.0493827160493829,0.51829839009165,83.2087407465691
"2","ANA",1998,4.85802469135802,4.83333333333333,NA,NA,4.47222222222222,4.71875,162,85,77,0.524691358024691,0.502394508794837,0.479554592033088,0.271219135802469,0.492640290357923,78.9898268179547
"3","ANA",1999,4.38888888888889,5.09876543209877,NA,NA,3.63888888888889,4.58333333333333,162,70,92,0.432098765432099,0.430010335058605,0.412925999248521,0.234567901234568,0.420272356104627,67.5869031688487
"4","ANA",2000,5.33333333333333,5.3641975308642,NA,NA,5.22727272727273,4.875,162,82,80,0.506172839506173,0.497288392246948,0.526573946393701,-0.383136924803592,0.509532947179639,80.4554360813752
"5","ANA",2001,4.26543209876543,4.50617283950617,NA,NA,3.7,4.31578947368421,162,75,87,0.462962962962963,0.474221784556285,0.441577026700363,0.37504873294347,0.460482018228941,74.56565997924
"6","ANA",2002,5.25308641975309,3.97530864197531,NA,NA,5,3.63636363636364,162,99,63,0.611111111111111,0.628058679829085,0.619076498565812,-0.0858585858585861,0.632399107019581,100.297883134851
"7","ANA",2003,4.54320987654321,4.58641975308642,NA,NA,4.11111111111111,4.41666666666667,162,77,85,0.475308641975309,0.495551842777479,0.472695299875768,0.262345679012346,0.485980082746531,79.2599972904013
"8","ANA",2004,5.16049382716049,4.53086419753086,NA,NA,5,4.05,162,92,70,0.567901234567901,0.560843422640105,0.57965123786556,-0.32037037037037,0.572045213531823,90.8164224317389
"9","ANA",2005,4.69753086419753,3.96913580246914,NA,NA,4.3,3.5,162,95,67,0.58641975308642,0.578521766284982,0.577841029305696,-0.0716049382716046,0.581616385596514,93.9064585019742
"10","ANA",2006,4.72839506172839,4.51851851851852,NA,NA,4.25,3.65384615384615,162,89,73,0.549382716049383,0.521322430100572,0.557366494077774,-0.386277302943969,0.534083606141416,86.1410525438567
"11","ANA",2007,5.07407407407407,4.51234567901235,NA,NA,4.46666666666667,3.8,162,94,68,0.580246913580247,0.554912464017687,0.561314141120218,-0.104938271604938,0.558744462269218,89.4598863727494
"12","ANA",2008,4.72222222222222,4.30246913580247,NA,NA,4.38636363636364,3.57142857142857,162,100,62,0.617283950617284,0.543634231674757,0.5777230355172,-0.395181978515312,0.557073913937329,91.5194947190259
"13","ANA",2009,5.45061728395062,4.69753086419753,NA,NA,4.76923076923077,4.29166666666667,162,97,65,0.598765432098765,0.569422660542349,0.540138116598122,0.275522317188984,0.560652831137726,92.9833169066951
"14","ANA",2010,4.2037037037037,4.33333333333333,NA,NA,3.6875,3.66666666666667,162,80,82,0.493827160493827,0.485731738987417,0.502159997127076,-0.150462962962963,0.489925442173889,79.7222600208266
"15","ANA",2011,4.11728395061728,3.90740740740741,NA,NA,3.61363636363636,3.4047619047619,162,86,76,0.530864197530864,0.524566498423234,0.522683329727132,0.00100208433541749,0.524311282403667,85.0653770686257
"16","ANA",2012,4.73456790123457,4.31481481481481,NA,NA,4.5,3.57692307692308,162,89,73,0.549382716049383,0.543515607579426,0.586640037934253,-0.50332383665717,0.560603346575608,88.5624079372294
"17","ANA",2013,4.52469135802469,4.54938271604938,NA,NA,4.34615384615385,4.2,162,78,84,0.481481481481481,0.497442601422455,0.513038055983859,-0.170845204178537,0.502524430164301,81.5580740049404
"18","ARI",1998,4.10493827160494,5.01234567901235,NA,NA,3.725,4.57894736842105,162,65,97,0.401234567901235,0.407236589691189,0.42195429681919,-0.0534600389863558,0.406853845747703,65.6701633678613
"19","ARI",1999,5.60493827160494,4.17283950617284,NA,NA,5.27777777777778,3.69230769230769,162,100,62,0.617283950617284,0.635203984489492,0.632927957455737,-0.153371320037986,0.641926215041298,99.7650936607849
"20","ARI",2000,4.88888888888889,4.65432098765432,NA,NA,4.52777777777778,4.13888888888889,162,85,77,0.524691358024691,0.523089316484421,0.534183504430962,-0.15432098765432,0.528051492273545,86.6147804480245
"21","ARI",2001,5.04938271604938,4.17901234567901,NA,NA,4.5,3.53125,162,92,70,0.567901234567901,0.587980325872409,0.591384064651533,-0.0983796296296298,0.592130441846138,93.4506639936581
"22","ARI",2002,5.05555555555556,4.16049382716049,NA,NA,4.76923076923077,3.39473684210526,162,98,64,0.604938271604938,0.590556636326719,0.626779333441824,-0.479432198730444,0.607609140781796,95.163432382012
"23","ARI",2003,4.42592592592593,4.22839506172839,NA,NA,3.625,3.61111111111111,162,84,78,0.518518518518518,0.521442204366438,0.50146349414266,0.183641975308642,0.514969253882415,82.2550040557024
"24","ARI",2004,3.7962962962963,5.54938271604938,NA,NA,3.32352941176471,5.2,162,51,111,0.314814814814815,0.328793216029807,0.335676487355328,0.123384168482207,0.32131793027453,53.1312881953092
"25","ARI",2005,4.2962962962963,5.28395061728395,NA,NA,3.53846153846154,4.36666666666667,162,77,85,0.475308641975309,0.403970379155746,0.420502274445672,-0.159449192782526,0.407113607655132,71.3266903122757
"26","ARI",2006,4.77160493827161,4.8641975308642,NA,NA,4.39473684210526,4.47058823529412,162,76,86,0.469135802469136,0.490969475554354,0.493476445893221,-0.0167411994037376,0.490739227812057,79.9911871954901
"27","ARI",2007,4.39506172839506,4.51851851851852,NA,NA,3.88461538461538,4,162,90,72,0.555555555555556,0.486984797344034,0.488842787130267,-0.00807217473884148,0.486393862756089,79.8215584860226
